,uid,topology,iteration,nodes,event,size_gb,time_seconds
277,kary-2-6,kary-2,3,6,create-leaf-nodes,2,5.884
278,kary-2-6,kary-2,3,6,distribute-leaf-nodes,2,4.216
279,kary-2-6,kary-2,3,6,clean-leaf-nodes,2,0.4
280,kary-2-6,kary-2,3,6,delete-archive-leaf-nodes,2,0.024
281,kary-2-6,kary-2,3,6,create-middle-nodes,2,6.028
282,kary-2-6,kary-2,3,6,distribute-middle-nodes-0,2,3.754
283,kary-2-6,kary-2,3,6,distribute-middle-nodes-1,2,4.222
284,kary-2-6,kary-2,3,6,clean-middle-nodes,2,0.385
285,kary-2-6,kary-2,3,6,delete-archive-middle-nodes,2,0.022
286,kary-2-6,kary-2,0,6,create-archive,1,2.938
287,kary-2-6,kary-2,0,6,distribute-all-nodes,1,3.054
288,kary-2-6,kary-2,0,6,clean-all-nodes,1,0.208
289,kary-2-6,kary-2,0,6,delete-archive-all-nodes,1,0.018
290,kary-2-6,kary-2,0,6,create-leaf-nodes,1,3.059
291,kary-2-6,kary-2,0,6,distribute-leaf-nodes,1,2.185
292,kary-2-6,kary-2,0,6,clean-leaf-nodes,1,0.193
293,kary-2-6,kary-2,0,6,delete-archive-leaf-nodes,1,0.019
294,kary-2-6,kary-2,0,6,create-middle-nodes,1,3.049
295,kary-2-6,kary-2,0,6,distribute-middle-nodes-0,1,1.747
296,kary-2-6,kary-2,0,6,distribute-middle-nodes-1,1,2.313
297,kary-2-6,kary-2,0,6,clean-middle-nodes,1,0.216
298,kary-2-6,kary-2,0,6,delete-archive-middle-nodes,1,0.022
299,kary-2-6,kary-2,0,6,create-archive,2,5.978
300,kary-2-6,kary-2,0,6,distribute-all-nodes,2,6.1
301,kary-2-6,kary-2,0,6,clean-all-nodes,2,0.391
302,kary-2-6,kary-2,0,6,delete-archive-all-nodes,2,0.023
303,kary-2-6,kary-2,0,6,create-leaf-nodes,2,5.87
304,kary-2-6,kary-2,0,6,distribute-leaf-nodes,2,4.48
305,kary-2-6,kary-2,0,6,clean-leaf-nodes,2,0.39
306,kary-2-6,kary-2,0,6,delete-archive-leaf-nodes,2,0.023
307,kary-2-6,kary-2,0,6,create-middle-nodes,2,5.887
308,kary-2-6,kary-2,0,6,distribute-middle-nodes-0,2,3.62
309,kary-2-6,kary-2,0,6,distribute-middle-nodes-1,2,4.314
310,kary-2-6,kary-2,0,6,clean-middle-nodes,2,0.409
311,kary-2-6,kary-2,0,6,delete-archive-middle-nodes,2,0.022
312,kary-2-6,kary-2,1,6,create-archive,1,2.915
313,kary-2-6,kary-2,1,6,distribute-all-nodes,1,3.237
314,kary-2-6,kary-2,1,6,clean-all-nodes,1,0.217
315,kary-2-6,kary-2,1,6,delete-archive-all-nodes,1,0.02
316,kary-2-6,kary-2,1,6,create-leaf-nodes,1,3.344
317,kary-2-6,kary-2,1,6,distribute-leaf-nodes,1,2.469
318,kary-2-6,kary-2,1,6,clean-leaf-nodes,1,0.224
319,kary-2-6,kary-2,1,6,delete-archive-leaf-nodes,1,0.02
320,kary-2-6,kary-2,1,6,create-middle-nodes,1,3.003
321,kary-2-6,kary-2,1,6,distribute-middle-nodes-0,1,1.774
322,kary-2-6,kary-2,1,6,distribute-middle-nodes-1,1,2.079
323,kary-2-6,kary-2,1,6,clean-middle-nodes,1,0.229
324,kary-2-6,kary-2,1,6,delete-archive-middle-nodes,1,0.019
325,kary-2-6,kary-2,1,6,create-archive,2,5.862
326,kary-2-6,kary-2,1,6,distribute-all-nodes,2,5.914
327,kary-2-6,kary-2,1,6,clean-all-nodes,2,0.39
328,kary-2-6,kary-2,1,6,delete-archive-all-nodes,2,0.026
329,kary-2-6,kary-2,1,6,create-leaf-nodes,2,5.897
330,kary-2-6,kary-2,1,6,distribute-leaf-nodes,2,4.294
331,kary-2-6,kary-2,1,6,clean-leaf-nodes,2,0.406
332,kary-2-6,kary-2,1,6,delete-archive-leaf-nodes,2,0.025
333,kary-2-6,kary-2,1,6,create-middle-nodes,2,5.897
334,kary-2-6,kary-2,1,6,distribute-middle-nodes-0,2,3.6
335,kary-2-6,kary-2,1,6,distribute-middle-nodes-1,2,4.272
336,kary-2-6,kary-2,1,6,clean-middle-nodes,2,0.39
337,kary-2-6,kary-2,1,6,delete-archive-middle-nodes,2,0.023
338,kary-2-6,kary-2,2,6,create-archive,1,2.906
339,kary-2-6,kary-2,2,6,distribute-all-nodes,1,3.127
340,kary-2-6,kary-2,2,6,clean-all-nodes,1,0.21
341,kary-2-6,kary-2,2,6,delete-archive-all-nodes,1,0.02
342,kary-2-6,kary-2,2,6,create-leaf-nodes,1,3.027
343,kary-2-6,kary-2,2,6,distribute-leaf-nodes,1,2.175
344,kary-2-6,kary-2,2,6,clean-leaf-nodes,1,0.192
345,kary-2-6,kary-2,2,6,delete-archive-leaf-nodes,1,0.019
346,kary-2-6,kary-2,2,6,create-middle-nodes,1,2.975
347,kary-2-6,kary-2,2,6,distribute-middle-nodes-0,1,1.713
348,kary-2-6,kary-2,2,6,distribute-middle-nodes-1,1,2.365
349,kary-2-6,kary-2,2,6,clean-middle-nodes,1,0.213
350,kary-2-6,kary-2,2,6,delete-archive-middle-nodes,1,0.02
351,kary-2-6,kary-2,2,6,create-archive,2,5.933
352,kary-2-6,kary-2,2,6,distribute-all-nodes,2,6.065
353,kary-2-6,kary-2,2,6,clean-all-nodes,2,0.4
354,kary-2-6,kary-2,2,6,delete-archive-all-nodes,2,0.024
355,kary-2-6,kary-2,2,6,create-leaf-nodes,2,5.842
356,kary-2-6,kary-2,2,6,distribute-leaf-nodes,2,4.391
357,kary-2-6,kary-2,2,6,clean-leaf-nodes,2,0.392
358,kary-2-6,kary-2,2,6,delete-archive-leaf-nodes,2,0.023
359,kary-2-6,kary-2,2,6,create-middle-nodes,2,5.973
360,kary-2-6,kary-2,2,6,distribute-middle-nodes-0,2,3.812
361,kary-2-6,kary-2,2,6,distribute-middle-nodes-1,2,4.386
362,kary-2-6,kary-2,2,6,clean-middle-nodes,2,0.394
363,kary-2-6,kary-2,2,6,delete-archive-middle-nodes,2,0.026
364,kary-2-6,kary-2,4,6,create-archive,1,3.061
365,kary-2-6,kary-2,4,6,distribute-all-nodes,1,3.054
366,kary-2-6,kary-2,4,6,clean-all-nodes,1,0.209
367,kary-2-6,kary-2,4,6,delete-archive-all-nodes,1,0.019
368,kary-2-6,kary-2,4,6,create-leaf-nodes,1,2.948
369,kary-2-6,kary-2,4,6,distribute-leaf-nodes,1,2.236
370,kary-2-6,kary-2,4,6,clean-leaf-nodes,1,0.197
371,kary-2-6,kary-2,4,6,delete-archive-leaf-nodes,1,0.018
372,kary-2-6,kary-2,4,6,create-middle-nodes,1,2.986
373,kary-2-6,kary-2,4,6,distribute-middle-nodes-0,1,1.723
374,kary-2-6,kary-2,4,6,distribute-middle-nodes-1,1,2.119
375,kary-2-6,kary-2,4,6,clean-middle-nodes,1,0.209
376,kary-2-6,kary-2,4,6,delete-archive-middle-nodes,1,0.02
377,kary-2-6,kary-2,4,6,create-archive,2,5.981
378,kary-2-6,kary-2,4,6,distribute-all-nodes,2,5.994
379,kary-2-6,kary-2,4,6,clean-all-nodes,2,0.417
380,kary-2-6,kary-2,4,6,delete-archive-all-nodes,2,0.022
381,kary-2-6,kary-2,4,6,create-leaf-nodes,2,6.216
382,kary-2-6,kary-2,4,6,distribute-leaf-nodes,2,4.485
383,kary-2-6,kary-2,4,6,clean-leaf-nodes,2,0.385
384,kary-2-6,kary-2,4,6,delete-archive-leaf-nodes,2,0.025
385,kary-2-6,kary-2,4,6,create-middle-nodes,2,5.869
386,kary-2-6,kary-2,4,6,distribute-middle-nodes-0,2,3.517
387,kary-2-6,kary-2,4,6,distribute-middle-nodes-1,2,4.47
388,kary-2-6,kary-2,4,6,clean-middle-nodes,2,0.416
389,kary-2-6,kary-2,4,6,delete-archive-middle-nodes,2,0.021
390,kary-3-6,kary-3,3,6,create-archive,1,3.034
391,kary-3-6,kary-3,3,6,distribute-all-nodes,1,3.133
392,kary-3-6,kary-3,3,6,clean-all-nodes,1,0.209
393,kary-3-6,kary-3,3,6,delete-archive-all-nodes,1,0.02
394,kary-3-6,kary-3,3,6,create-leaf-nodes,1,2.947
395,kary-3-6,kary-3,3,6,distribute-leaf-nodes,1,1.732
396,kary-3-6,kary-3,3,6,clean-leaf-nodes,1,0.191
397,kary-3-6,kary-3,3,6,delete-archive-leaf-nodes,1,0.018
398,kary-3-6,kary-3,3,6,create-middle-nodes,1,2.92
399,kary-3-6,kary-3,3,6,distribute-middle-nodes-0,1,2.238
400,kary-3-6,kary-3,3,6,distribute-middle-nodes-1,1,1.825
401,kary-3-6,kary-3,3,6,clean-middle-nodes,1,0.218
402,kary-3-6,kary-3,3,6,delete-archive-middle-nodes,1,0.019
